"Day","trend_value","weight","total_ubereats","estimated_daily_searches"
2023-11-13,35,0.003880266,236627,918
2023-11-14,52,0.005764967,236676,1364
2023-11-15,74,0.008203991,232238,1905
2023-11-16,44,0.004878049,233488,1139
2023-11-17,53,0.005875831,258156,1517
2023-11-18,70,0.007760532,262057,2034
2023-11-19,79,0.008758315,259486,2273
2023-11-20,43,0.004767184,257056,1225
2023-11-21,37,0.004101996,254784,1045
2023-11-22,41,0.004545455,258266,1174
2023-11-23,45,0.004988914,256203,1278
2023-11-24,59,0.00654102,255337,1670
2023-11-25,68,0.007538803,274872,2072
2023-11-26,73,0.008093126,275145,2227
2023-11-27,45,0.004988914,270595,1350
2023-11-28,36,0.003991131,265342,1059
2023-11-29,40,0.00443459,263587,1169
2023-11-30,58,0.006430155,262529,1688
2023-12-01,72,0.007982262,272584,2176
2023-12-02,68,0.007538803,260213,1962
2023-12-03,100,0.011086475,260852,2892
2023-12-04,33,0.003658537,270231,989
2023-12-05,47,0.005210643,271556,1415
2023-12-06,44,0.004878049,271765,1326
2023-12-07,69,0.007649667,269930,2065
2023-12-08,84,0.009312639,262181,2442
2023-12-09,59,0.00654102,266281,1742
2023-12-10,86,0.009534368,272812,2601
2023-12-11,37,0.004101996,273745,1123
2023-12-12,47,0.005210643,274665,1431
2023-12-13,36,0.003991131,265250,1059
2023-12-14,49,0.005432373,265059,1440
2023-12-15,48,0.005321508,267184,1422
2023-12-16,52,0.005764967,267474,1542
2023-12-17,77,0.008536585,265266,2264
2023-12-18,48,0.005321508,271964,1447
2023-12-19,45,0.004988914,264201,1318
2023-12-20,36,0.003991131,277016,1106
2023-12-21,55,0.006097561,275014,1677
2023-12-22,73,0.008093126,275509,2230
2023-12-23,54,0.005986696,258676,1549
2023-12-24,52,0.005764967,283229,1633
2023-12-25,43,0.004767184,317366,1513
2023-12-26,61,0.006762749,335277,2267
2023-12-27,43,0.004767184,341587,1628
2023-12-28,38,0.00421286,321737,1355
2023-12-29,52,0.005764967,334672,1929
2023-12-30,54,0.005986696,313087,1874
2023-12-31,79,0.008758315,339861,2977
2024-01-01,92,0.010199557,339626,3464
2024-01-02,45,0.004988914,303192,1513
2024-01-03,49,0.005432373,345369,1876
2024-01-04,36,0.003991131,315092,1258
2024-01-05,58,0.006430155,320230,2059
2024-01-06,69,0.007649667,308852,2363
2024-01-07,75,0.008314856,330002,2744
2024-01-08,40,0.00443459,299674,1329
2024-01-09,43,0.004767184,308292,1470
2024-01-10,58,0.006430155,319151,2052
2024-01-11,47,0.005210643,319875,1667
2024-01-12,52,0.005764967,335851,1936
2024-01-13,60,0.006651885,345867,2301
2024-01-14,48,0.005321508,307554,1637
2024-01-15,34,0.003769401,326657,1231
2024-01-16,27,0.002993348,325234,974
2024-01-17,46,0.005099778,329041,1678
2024-01-18,36,0.003991131,316019,1261
2024-01-19,46,0.005099778,322427,1644
2024-01-20,33,0.003658537,332337,1216
2024-01-21,60,0.006651885,334773,2227
2024-01-22,27,0.002993348,339636,1017
2024-01-23,26,0.002882483,337672,973
2024-01-24,25,0.002771619,342557,949
2024-01-25,39,0.004323725,357352,1545
2024-01-26,49,0.005432373,439341,2387
2024-01-27,49,0.005432373,386755,2101
2024-01-28,72,0.007982262,396519,3165
2024-01-29,34,0.003769401,298534,1125
2024-01-30,32,0.003547672,421433,1495
2024-01-31,29,0.003215078,391227,1258
2024-02-01,61,0.006762749,435714,2947
2024-02-02,62,0.006873614,414833,2851
2024-02-03,84,0.009312639,417536,3888
2024-02-04,86,0.009534368,371863,3545
2024-02-05,36,0.003991131,356959,1425
2024-02-06,31,0.003436807,396010,1361
2024-02-07,45,0.004988914,357140,1782
2024-02-08,50,0.005543237,374675,2077
2024-02-09,69,0.007649667,373578,2858
2024-02-10,64,0.007095344,367505,2608
2024-02-11,68,0.007538803,390631,2945
2024-02-12,43,0.004767184,373307,1780
2024-02-13,65,0.007206208,347879,2507
