iter	RMSE
0	1085.337026
1	1062.578353
2	1041.33798
3	1021.376026
4	1002.236228
5	982.3476895
6	964.0059418
7	944.9626218
8	932.5636915
9	915.8096209
10	899.9360606
11	885.789559
12	872.8082779
13	861.9439803
14	850.2304483
15	838.1841816
16	826.654681
17	814.7527314
18	803.3522701
19	792.6918257
20	782.7737699
21	773.6154249
22	763.1129079
23	752.811927
24	744.8595055
25	736.5201771
26	729.2051472
27	721.2363725
28	714.6393284
29	706.4016609
30	699.6516004
31	692.5148337
32	687.1819939
33	680.9161638
34	675.2910175
35	671.0957005
36	666.8119005
37	661.9387099
38	656.1903709
39	649.782113
40	644.3574757
41	638.02286
42	632.788179
43	627.8710967
44	623.4912572
45	619.5184318
46	616.2922271
47	611.2034923
48	607.5466143
49	603.2935167
50	599.7002018
51	595.2970549
52	591.5327063
53	587.9527313
54	584.6189342
55	580.1599887
56	575.49592
57	572.4981333
58	569.5875728
59	566.7537854
60	563.2552387
61	559.9943472
62	557.3272705
63	554.6135017
64	550.6741647
65	548.6087078
66	546.3343334
67	543.7504962
68	540.6489077
69	538.1123801
70	535.4557534
71	532.6302415
72	530.7295778
73	528.4964169
74	524.9077724
75	522.522825
76	520.6851464
77	520.2168485
78	517.8255587
79	515.651349
80	513.3915888
81	510.8991475
82	509.5821693
83	507.7659438
84	505.4957601
85	502.0895924
86	500.0586313
87	498.3970361
88	495.9242253
89	494.0902951
90	492.8245941
91	491.429031
92	489.6260309
93	487.6904072
94	485.0430791
95	483.4761838
96	481.3094509
97	479.9517605
98	477.2955439
99	475.0953833
100	473.2053416
101	472.2291636
102	470.0134706
103	467.747531
104	464.8589444
105	462.9076932
106	460.9425065
107	459.1279053
108	458.0428109
109	456.4380267
