iter	Passed	Remaining
0	57	57150
1	58	29198
2	59	19766
3	60	15090
4	61	12250
5	62	10353
6	63	8992
7	64	7970
8	65	7172
9	65	6532
10	66	6009
11	67	5573
12	68	5205
13	69	4887
14	70	4615
15	71	4405
16	72	4193
17	73	4002
18	74	3834
19	75	3682
20	76	3543
21	76	3417
22	77	3300
23	78	3194
24	79	3096
25	80	3031
26	81	2947
27	82	2868
28	83	2799
29	84	2735
30	86	2699
31	87	2651
32	88	2596
33	89	2544
34	90	2494
35	91	2453
36	92	2408
37	93	2366
38	94	2326
39	95	2286
40	96	2248
41	97	2212
42	97	2179
43	98	2148
44	99	2117
45	100	2087
46	101	2057
47	102	2029
48	103	2004
49	104	1983
50	105	1958
51	106	1936
52	107	1914
53	108	1892
54	108	1870
55	109	1851
56	110	1832
57	111	1818
58	112	1799
59	113	1780
60	114	1763
61	115	1745
62	116	1729
63	117	1712
64	117	1697
65	118	1682
66	119	1668
67	120	1654
68	121	1640
69	122	1626
70	124	1623
71	125	1611
72	126	1600
73	126	1587
74	127	1575
75	128	1564
76	129	1552
77	129	1533
78	130	1521
79	131	1510
80	132	1499
81	133	1490
82	134	1480
83	134	1471
84	135	1463
85	136	1453
86	137	1444
87	138	1435
88	139	1426
89	140	1417
90	141	1417
91	142	1408
92	143	1400
93	144	1392
94	145	1384
95	146	1376
96	147	1369
97	147	1361
98	148	1354
99	149	1346
100	150	1339
101	151	1332
102	152	1326
103	153	1319
104	154	1313
105	154	1306
106	155	1300
107	156	1294
108	157	1287
109	158	1282
